TEAM,GAME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,ELO
7,9,36,90,0.4,3,16,0.188,18,24,0.75,19,34,53,24,8,4,12,22,1539
7,10,36,81,0.444,6,13,0.462,20,33,0.606,10,29,39,27,8,10,14,21,1547
7,11,35,74,0.473,7,12,0.583,12,25,0.48,17,42,59,27,6,6,14,15,1567
7,12,41,77,0.532,2,8,0.25,22,25,0.88,12,27,39,20,10,8,17,24,1572
7,13,41,78,0.526,10,19,0.526,13,24,0.542,11,24,35,27,6,9,11,11,1573
7,14,37,90,0.411,10,31,0.323,20,31,0.645,24,33,57,22,5,12,9,16,1594
7,15,41,81,0.506,5,13,0.385,20,27,0.741,11,27,38,23,7,6,7,23,1607
7,16,38,90,0.422,8,23,0.348,18,21,0.857,8,36,44,25,12,10,9,14,1624
7,17,37,87,0.425,3,18,0.167,21,39,0.538,17,35,52,23,7,6,12,22,1626
7,18,36,90,0.4,4,19,0.211,15,24,0.625,16,33,49,18,6,5,9,28,1623
7,19,40,91,0.44,4,20,0.2,9,21,0.429,17,27,44,24,7,9,10,25,1592
7,20,43,88,0.489,2,9,0.222,22,28,0.786,12,43,55,24,10,6,10,27,1600
7,21,38,80,0.475,3,16,0.188,22,32,0.688,9,33,42,25,8,5,10,25,1602
7,22,39,89,0.438,12,20,0.6,17,23,0.739,18,35,53,22,3,9,12,21,1605
7,23,45,94,0.479,5,21,0.238,13,18,0.722,19,29,48,32,2,6,15,26,1590
7,24,34,85,0.4,8,25,0.32,12,18,0.667,9,40,49,20,7,3,10,19,1591
7,25,37,90,0.411,5,24,0.208,11,14,0.786,10,26,36,18,6,8,15,30,1576
7,26,33,86,0.384,7,18,0.389,13,23,0.565,16,35,51,20,4,7,15,19,1565
7,27,46,91,0.505,12,22,0.545,10,13,0.769,10,26,36,31,3,6,3,23,1567
7,28,32,82,0.39,6,13,0.462,17,21,0.81,14,30,44,21,10,8,13,17,1570
7,29,47,94,0.5,7,21,0.333,17,21,0.81,15,36,51,31,7,4,10,14,1580
7,30,42,79,0.532,4,12,0.333,21,29,0.724,12,30,42,19,12,3,13,11,1597
7,31,46,89,0.517,9,15,0.6,20,25,0.8,13,31,44,27,7,3,6,25,1618
7,32,42,86,0.488,6,14,0.429,19,33,0.576,11,42,53,27,10,10,11,20,1638
7,33,37,93,0.398,9,21,0.429,19,30,0.633,11,26,37,26,9,3,6,25,1630
7,34,34,83,0.41,11,25,0.44,25,40,0.625,16,35,51,28,12,7,17,31,1618
7,35,48,97,0.495,10,22,0.455,14,17,0.824,15,30,45,32,14,8,8,17,1623
7,36,37,92,0.402,11,26,0.423,11,14,0.786,17,25,42,22,5,6,10,23,1595
7,37,41,88,0.466,7,21,0.333,9,12,0.75,13,30,43,15,9,6,8,17,1621
7,38,37,82,0.451,3,22,0.136,14,21,0.667,14,23,37,23,11,4,16,26,1584
7,39,32,80,0.4,7,15,0.467,19,31,0.613,12,34,46,21,3,6,9,18,1577
7,40,35,79,0.443,2,11,0.182,22,26,0.846,10,34,44,17,7,4,12,20,1580
7,41,36,85,0.424,3,17,0.176,12,18,0.667,10,32,42,20,4,6,9,24,1572
7,42,50,87,0.575,7,17,0.412,20,24,0.833,17,38,55,26,10,6,18,15,1590
7,43,41,88,0.466,6,17,0.353,23,36,0.639,16,35,51,23,4,3,9,16,1605
7,44,41,75,0.547,11,20,0.55,7,9,0.778,10,27,37,28,9,5,13,19,1610
7,45,37,93,0.398,6,21,0.286,21,26,0.808,17,40,57,25,4,3,9,24,1624
